Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ICFFUT;10/07/2026;16:12:00;393,10;398,00;393,00;398,00;118.410,00;3
ICFFUT;10/07/2026;14:59:00;396,50;396,50;396,50;396,50;39.650,00;1
ICFFUT;10/07/2026;14:56:00;397,55;397,55;396,50;396,50;278.020,00;7
ICFFUT;10/07/2026;14:50:00;399,10;399,10;399,10;399,10;39.910,00;1
ICFFUT;10/07/2026;14:43:00;398,70;398,70;398,70;398,70;39.870,00;1
ICFFUT;10/07/2026;14:42:00;399,10;399,10;399,10;399,10;39.910,00;1
ICFFUT;10/07/2026;14:26:00;401,20;401,20;401,20;401,20;80.240,00;2
ICFFUT;10/07/2026;14:22:00;400,05;400,05;400,05;400,05;200.025,00;5
ICFFUT;10/07/2026;14:20:00;400,20;400,20;400,20;400,20;80.040,00;2
ICFFUT;10/07/2026;14:19:00;399,65;401,00;399,65;401,00;400.350,00;10
ICFFUT;10/07/2026;14:17:00;399,00;399,00;399,00;399,00;39.900,00;1
ICFFUT;10/07/2026;14:16:00;399,00;399,00;399,00;399,00;39.900,00;1
ICFFUT;10/07/2026;14:15:00;399,40;399,40;399,25;399,25;159.715,00;4
ICFFUT;10/07/2026;14:12:00;399,60;399,60;399,05;399,05;159.785,00;4
ICFFUT;10/07/2026;14:11:00;399,50;399,60;399,50;399,60;119.860,00;3
ICFFUT;10/07/2026;14:10:00;399,55;399,55;399,55;399,55;39.955,00;1
ICFFUT;10/07/2026;14:07:00;399,60;399,60;399,60;399,60;39.960,00;1
ICFFUT;10/07/2026;14:03:00;399,30;399,30;399,30;399,30;39.930,00;1
ICFFUT;10/07/2026;13:56:00;399,60;399,60;399,60;399,60;39.960,00;1
ICFFUT;10/07/2026;13:54:00;398,50;399,50;398,50;399,50;199.540,00;5
ICFFUT;10/07/2026;13:51:00;399,00;399,00;399,00;399,00;39.900,00;1
ICFFUT;10/07/2026;13:45:00;398,00;398,85;398,00;398,85;79.685,00;2
ICFFUT;10/07/2026;13:42:00;398,00;398,00;398,00;398,00;39.800,00;1
ICFFUT;10/07/2026;13:34:00;399,00;399,00;399,00;399,00;79.800,00;2
ICFFUT;10/07/2026;13:32:00;398,30;398,30;398,30;398,30;39.830,00;1
ICFFUT;10/07/2026;13:31:00;398,00;398,00;398,00;398,00;39.800,00;1
ICFFUT;10/07/2026;13:30:00;395,85;395,90;395,85;395,90;118.765,00;3
ICFFUT;10/07/2026;13:27:00;395,00;395,25;395,00;395,25;158.025,00;4
ICFFUT;10/07/2026;13:25:00;395,90;395,90;395,90;395,90;79.180,00;2
ICFFUT;10/07/2026;13:24:00;395,50;395,50;395,25;395,25;118.625,00;3
ICFFUT;10/07/2026;13:23:00;396,50;396,50;395,00;395,00;197.820,00;5
ICFFUT;10/07/2026;13:22:00;396,50;396,50;396,50;396,50;79.300,00;2
ICFFUT;10/07/2026;13:21:00;396,00;396,20;396,00;396,20;158.440,00;4
ICFFUT;10/07/2026;13:19:00;395,50;395,50;395,25;395,25;237.250,00;6
ICFFUT;10/07/2026;13:18:00;396,50;396,50;396,50;396,50;79.300,00;2
ICFFUT;10/07/2026;13:16:00;396,15;396,15;396,10;396,10;118.835,00;3
ICFFUT;10/07/2026;13:15:00;395,00;396,00;395,00;396,00;197.700,00;5
ICFFUT;10/07/2026;13:14:00;395,55;395,55;395,45;395,45;355.935,00;9
ICFFUT;10/07/2026;13:13:00;395,50;395,50;395,20;395,20;79.070,00;2
ICFFUT;10/07/2026;13:12:00;396,00;396,00;395,70;395,70;79.170,00;2
ICFFUT;10/07/2026;13:11:00;395,70;395,70;395,70;395,70;79.140,00;2
ICFFUT;10/07/2026;13:10:00;395,45;395,45;395,20;395,20;79.065,00;2
ICFFUT;10/07/2026;13:09:00;395,50;395,50;395,50;395,50;79.100,00;2
ICFFUT;10/07/2026;13:08:00;395,00;395,00;395,00;395,00;118.500,00;3
ICFFUT;10/07/2026;13:07:00;395,00;395,10;395,00;395,10;158.010,00;4
ICFFUT;10/07/2026;13:06:00;395,30;395,30;395,20;395,20;79.050,00;2
ICFFUT;10/07/2026;13:05:00;395,95;395,95;395,95;395,95;39.595,00;1
ICFFUT;10/07/2026;13:04:00;396,05;396,05;396,05;396,05;39.605,00;1
ICFFUT;10/07/2026;13:03:00;396,50;396,50;396,50;396,50;158.600,00;4
ICFFUT;10/07/2026;13:01:00;396,00;396,50;396,00;396,50;79.250,00;2
ICFFUT;10/07/2026;13:00:00;395,20;395,20;395,20;395,20;197.600,00;5
ICFFUT;10/07/2026;12:58:00;394,50;394,50;394,50;394,50;197.250,00;5
ICFFUT;10/07/2026;12:55:00;394,90;394,90;394,50;394,50;394.700,00;10
ICFFUT;10/07/2026;12:53:00;395,05;395,05;394,00;394,00;552.735,00;14
ICFFUT;10/07/2026;12:52:00;395,50;395,50;395,50;395,50;39.550,00;1
ICFFUT;10/07/2026;12:51:00;396,00;396,00;396,00;396,00;39.600,00;1
ICFFUT;10/07/2026;12:50:00;395,55;395,55;395,55;395,55;118.665,00;3
ICFFUT;10/07/2026;12:48:00;395,30;395,30;395,25;395,25;118.580,00;3
ICFFUT;10/07/2026;12:47:00;397,00;397,00;397,00;397,00;39.700,00;1
ICFFUT;10/07/2026;12:46:00;398,30;398,30;397,70;397,70;238.750,00;6
ICFFUT;10/07/2026;12:45:00;399,80;399,80;399,80;399,80;39.980,00;1
ICFFUT;10/07/2026;12:43:00;398,10;398,10;398,10;398,10;39.810,00;1
ICFFUT;10/07/2026;12:41:00;398,75;398,75;398,00;398,00;238.995,00;6
ICFFUT;10/07/2026;12:40:00;398,50;398,50;398,50;398,50;39.850,00;1
ICFFUT;10/07/2026;12:39:00;398,10;398,10;398,10;398,10;39.810,00;1
ICFFUT;10/07/2026;12:37:00;399,20;399,20;399,10;399,10;159.670,00;4
ICFFUT;10/07/2026;12:36:00;400,00;400,00;399,60;399,60;119.920,00;3
ICFFUT;10/07/2026;12:35:00;402,00;402,00;401,00;401,00;240.725,00;6
ICFFUT;10/07/2026;12:34:00;401,00;401,00;400,80;400,80;80.180,00;2
ICFFUT;10/07/2026;12:33:00;400,00;401,05;400,00;401,05;160.220,00;4
ICFFUT;10/07/2026;12:31:00;400,00;400,95;400,00;400,00;440.185,00;11
ICFFUT;10/07/2026;12:30:00;399,95;400,00;399,95;400,00;319.975,00;8
ICFFUT;10/07/2026;12:24:00;397,95;397,95;397,00;397,00;119.195,00;3
ICFFUT;10/07/2026;12:23:00;397,00;397,00;397,00;397,00;39.700,00;1
ICFFUT;10/07/2026;12:22:00;396,80;396,80;396,80;396,80;39.680,00;1
ICFFUT;10/07/2026;12:18:00;395,50;395,50;395,50;395,50;39.550,00;1
ICFFUT;10/07/2026;12:17:00;395,50;395,50;395,50;395,50;237.300,00;6
ICFFUT;10/07/2026;12:13:00;395,05;395,05;395,05;395,05;39.505,00;1
ICFFUT;10/07/2026;12:12:00;396,40;396,40;396,40;396,40;39.640,00;1
ICFFUT;10/07/2026;12:11:00;396,40;396,40;396,40;396,40;79.280,00;2
ICFFUT;10/07/2026;12:10:00;394,95;395,00;394,95;395,00;276.490,00;7
ICFFUT;10/07/2026;12:09:00;395,00;395,00;394,20;394,20;78.920,00;2
ICFFUT;10/07/2026;12:07:00;394,95;396,55;394,95;396,55;158.150,00;4
ICFFUT;10/07/2026;12:05:00;394,00;394,95;393,35;393,35;118.230,00;3
ICFFUT;10/07/2026;12:04:00;393,10;393,10;393,10;393,10;39.310,00;1
ICFFUT;10/07/2026;12:03:00;393,65;393,80;393,65;393,80;118.115,00;3
ICFFUT;10/07/2026;12:02:00;393,00;393,00;391,35;391,35;196.160,00;5
ICFFUT;10/07/2026;12:01:00;392,95;392,95;392,95;392,95;117.885,00;3
ICFFUT;10/07/2026;12:00:00;391,00;391,00;391,00;391,00;273.700,00;7
ICFFUT;10/07/2026;11:46:00;388,55;388,55;388,50;388,50;77.705,00;2
ICFFUT;10/07/2026;11:45:00;389,20;389,20;389,20;389,20;38.920,00;1
ICFFUT;10/07/2026;11:35:00;390,00;390,00;390,00;390,00;234.000,00;6
ICFFUT;10/07/2026;11:32:00;390,05;390,05;390,00;390,00;78.005,00;2
ICFFUT;10/07/2026;11:30:00;391,20;391,20;390,70;390,70;195.455,00;5
