asset,date,time,open,max,min,close,volume_usd,quantity
ICFFUT,2024-07-22,13:12:00,"241,26","241,26","241,02","241,10","192.883,41",8
ICFFUT,2024-07-22,13:16:00,"241,42","241,42","241,42","241,42","48.284,35",2
ICFFUT,2024-07-22,13:10:00,"241,50","241,50","241,50","241,50","24.150,24",1
ICFFUT,2024-07-22,13:13:00,"241,10","241,14","241,10","241,14","48.223,88",2
ICFFUT,2024-07-22,13:15:00,"241,26","241,42","241,26","241,42","72.394,28",3
ICFFUT,2024-07-22,13:17:00,"241,42","241,42","241,42","241,42","72.426,53",3
ICFFUT,2024-07-22,13:27:00,"241,70","241,70","241,70","241,70","24.170,40",1
ICFFUT,2024-07-22,13:21:00,"241,50","241,91","241,50","241,91","169.257,30",7
ICFFUT,2024-07-22,13:22:00,"241,91","242,35","241,91","242,35","121.081,81",5
ICFFUT,2024-07-22,13:23:00,"241,50","241,50","241,50","241,50","24.150,24",1
ICFFUT,2024-07-22,13:24:00,"241,10","241,10","241,10","241,10","24.109,92",1
ICFFUT,2024-07-22,13:26:00,"241,50","241,50","241,50","241,50","24.150,24",1
ICFFUT,2024-07-22,13:03:00,"241,54","241,54","241,54","241,54","24.154,27",1
ICFFUT,2024-07-22,13:19:00,"241,50","241,50","241,10","241,18","144.724,04",6
ICFFUT,2024-07-22,13:02:00,"241,74","241,74","241,74","241,74","24.174,43",1
ICFFUT,2024-07-22,12:29:00,"241,70","242,19","241,70","242,19","314.465,16",13
ICFFUT,2024-07-22,12:52:00,"241,42","241,42","241,42","241,42","48.284,35",2
ICFFUT,2024-07-22,13:31:00,"241,54","241,70","241,54","241,54","72.478,94",3
ICFFUT,2024-07-22,12:28:00,"241,50","241,50","241,50","241,50","24.150,24",1
ICFFUT,2024-07-22,12:30:00,"241,70","241,70","241,70","241,70","24.170,40",1
ICFFUT,2024-07-22,12:31:00,"242,43","242,43","242,43","242,43","48.485,94",2
ICFFUT,2024-07-22,12:32:00,"242,43","242,47","242,27","242,27","145.449,76",6
ICFFUT,2024-07-22,12:33:00,"242,47","242,55","242,47","242,55","121.259,20",5
