asset,date,open,max,min,close,volume_usd,quantity
SJCFUT,2026-07-10 15:19:00,"26,22","26,22","26,22","26,22","58.995,00",5
SJCFUT,2026-07-10 14:55:00,"26,25","26,25","26,25","26,25","11.812,50",1
SJCFUT,2026-07-10 14:39:00,"26,25","26,25","26,25","26,25","11.812,50",1
SJCFUT,2026-07-10 14:00:00,"26,30","26,30","26,30","26,30","11.835,00",1
SJCFUT,2026-07-10 13:55:00,"26,29","26,29","26,29","26,29","23.661,00",2
SJCFUT,2026-07-10 13:53:00,"26,33","26,33","26,33","26,33","11.848,50",1
SJCFUT,2026-07-10 13:51:00,"26,32","26,32","26,32","26,32","11.844,00",1
SJCFUT,2026-07-10 13:11:00,"26,20","26,20","26,20","26,20","47.160,00",4
SJCFUT,2026-07-10 13:09:00,"26,20","26,20","26,20","26,20","58.950,00",5
SJCFUT,2026-07-10 13:05:00,"26,19","26,19","26,19","26,19","11.785,50",1
SJCFUT,2026-07-10 13:00:00,"26,23","26,40","26,23","26,40","841.311,00",71
SJCFUT,2026-07-10 12:18:00,"26,17","26,17","26,17","26,17","11.776,50",1
SJCFUT,2026-07-10 12:09:00,"26,20","26,20","26,20","26,20","58.950,00",5
SJCFUT,2026-07-10 12:05:00,"26,19","26,19","26,19","26,19","35.356,50",3
SJCFUT,2026-07-10 11:58:00,"26,19","26,19","26,19","26,19","11.785,50",1
SJCFUT,2026-07-10 11:48:00,"26,15","26,15","26,15","26,15","23.535,00",2
SJCFUT,2026-07-10 11:44:00,"26,20","26,20","26,18","26,18","318.312,00",27
SJCFUT,2026-07-10 10:48:00,"26,01","26,01","26,01","26,01","23.409,00",2
SJCFUT,2026-07-10 10:44:00,"25,97","25,97","25,97","25,97","11.686,50",1
SJCFUT,2026-07-10 10:39:00,"25,97","25,97","25,97","25,97","23.373,00",2
SJCFUT,2026-07-10 10:37:00,"25,98","25,98","25,98","25,98","140.292,00",12
SJCFUT,2026-07-10 10:35:00,"26,00","26,00","26,00","26,00","117.000,00",10
SJCFUT,2026-07-10 10:33:00,"26,03","26,03","26,03","26,03","11.713,50",1
SJCFUT,2026-07-10 10:32:00,"26,04","26,04","26,04","26,04","23.436,00",2
SJCFUT,2026-07-10 10:30:00,"26,06","26,13","26,06","26,13","716.818,50",61
SJCFUT,2026-07-10 09:13:00,"26,02","26,02","26,02","26,02","163.926,00",14
SJCFUT,2026-07-10 09:12:00,"26,02","26,02","26,02","26,02","421.524,00",36
SJCFUT,2026-07-10 09:09:00,"26,00","26,00","26,00","26,00","117.000,00",10
SJCFUT,2026-07-09 14:58:00,"26,04","26,04","26,04","26,04","11.718,00",1
SJCFUT,2026-07-09 14:13:00,"26,09","26,09","26,09","26,09","11.740,50",1
SJCFUT,2026-07-09 14:11:00,"26,07","26,07","26,07","26,07","35.194,50",3
SJCFUT,2026-07-09 13:46:00,"26,02","26,02","26,00","26,00","409.635,00",35
SJCFUT,2026-07-09 13:45:00,"26,00","26,00","26,00","26,00","257.400,00",22
SJCFUT,2026-07-09 13:34:00,"26,09","26,09","26,09","26,09","35.221,50",3
SJCFUT,2026-07-09 13:01:00,"26,15","26,15","26,15","26,15","11.767,50",1
SJCFUT,2026-07-09 12:30:00,"26,17","26,17","26,17","26,17","11.776,50",1
SJCFUT,2026-07-09 11:49:00,"26,15","26,15","26,15","26,15","117.675,00",10
SJCFUT,2026-07-09 11:29:00,"26,11","26,11","26,11","26,11","117.495,00",10
SJCFUT,2026-07-09 11:28:00,"26,09","26,09","26,09","26,09","23.481,00",2
SJCFUT,2026-07-09 11:23:00,"26,09","26,09","26,09","26,09","11.740,50",1
SJCFUT,2026-07-09 11:17:00,"26,10","26,11","26,10","26,11","23.494,50",2
SJCFUT,2026-07-09 11:08:00,"26,09","26,09","26,09","26,09","11.740,50",1
SJCFUT,2026-07-09 11:03:00,"26,10","26,10","26,10","26,10","35.235,00",3
SJCFUT,2026-07-09 11:01:00,"26,10","26,10","26,10","26,10","11.745,00",1
SJCFUT,2026-07-09 10:59:00,"26,12","26,12","26,12","26,12","23.508,00",2
SJCFUT,2026-07-09 10:55:00,"26,12","26,12","26,12","26,12","11.754,00",1
SJCFUT,2026-07-09 10:53:00,"26,12","26,12","26,12","26,12","23.508,00",2
SJCFUT,2026-07-09 10:51:00,"26,12","26,12","26,12","26,12","23.508,00",2
SJCFUT,2026-07-09 10:46:00,"26,15","26,15","26,15","26,15","23.535,00",2
SJCFUT,2026-07-09 10:30:00,"26,22","26,24","26,22","26,24","23.607,00",2
SJCFUT,2026-07-09 09:54:00,"26,10","26,10","26,10","26,10","352.350,00",30
SJCFUT,2026-07-09 09:42:00,"26,18","26,18","26,18","26,18","11.781,00",1
SJCFUT,2026-07-09 09:16:00,"26,21","26,21","26,21","26,21","23.589,00",2
SJCFUT,2026-07-09 09:13:00,"26,20","26,20","26,20","26,20","23.580,00",2
SJCFUT,2026-07-09 09:12:00,"26,20","26,20","26,20","26,20","11.790,00",1
SJCFUT,2026-07-09 09:09:00,"26,18","26,18","26,18","26,18","11.781,00",1
SJCFUT,2026-07-09 09:06:00,"26,20","26,20","26,19","26,19","82.507,50",7
SJCFUT,2026-07-09 09:05:00,"26,19","26,19","26,19","26,19","294.637,50",25
SJCFUT,2026-07-08 15:17:00,"26,25","26,25","26,25","26,25","354.375,00",30
SJCFUT,2026-07-08 15:16:00,"26,28","26,28","26,28","26,28","390.258,00",33
SJCFUT,2026-07-08 15:12:00,"26,28","26,28","26,28","26,28","201.042,00",17
SJCFUT,2026-07-08 14:31:00,"26,30","26,30","26,30","26,30","23.670,00",2
SJCFUT,2026-07-08 14:14:00,"26,32","26,32","26,32","26,32","355.320,00",30
SJCFUT,2026-07-08 13:56:00,"26,30","26,30","26,30","26,30","355.050,00",30
SJCFUT,2026-07-08 13:50:00,"26,34","26,34","26,34","26,34","355.590,00",30
SJCFUT,2026-07-08 13:37:00,"26,40","26,40","26,40","26,40","118.800,00",10
SJCFUT,2026-07-08 13:29:00,"26,35","26,35","26,35","26,35","450.585,00",38
SJCFUT,2026-07-08 12:53:00,"26,42","26,42","26,42","26,42","594.450,00",50
SJCFUT,2026-07-08 12:31:00,"26,39","26,39","26,39","26,39","11.875,50",1
SJCFUT,2026-07-08 12:03:00,"26,36","26,36","26,36","26,36","11.862,00",1
SJCFUT,2026-07-08 11:53:00,"26,40","26,40","26,40","26,40","522.720,00",44
SJCFUT,2026-07-08 11:51:00,"26,39","26,39","26,39","26,39","23.751,00",2
SJCFUT,2026-07-08 11:46:00,"26,40","26,40","26,38","26,39","59.382,00",5
SJCFUT,2026-07-08 11:27:00,"26,44","26,44","26,44","26,44","23.796,00",2
SJCFUT,2026-07-08 10:34:00,"26,47","26,47","26,47","26,47","47.646,00",4
SJCFUT,2026-07-08 10:30:00,"26,50","26,50","26,50","26,50","357.750,00",30
SJCFUT,2026-07-08 10:19:00,"26,47","26,47","26,47","26,47","11.911,50",1
SJCFUT,2026-07-08 09:19:00,"26,46","26,46","26,46","26,46","35.721,00",3
SJCFUT,2026-07-08 09:17:00,"26,49","26,49","26,49","26,49","23.841,00",2
SJCFUT,2026-07-08 09:09:00,"26,47","26,47","26,47","26,47","11.911,50",1
SJCFUT,2026-07-07 15:13:00,"26,42","26,42","26,42","26,42","95.112,00",8
SJCFUT,2026-07-07 14:42:00,"26,39","26,39","26,39","26,39","35.626,50",3
SJCFUT,2026-07-07 14:35:00,"26,40","26,40","26,40","26,40","23.760,00",2
SJCFUT,2026-07-07 14:28:00,"26,39","26,39","26,39","26,39","11.875,50",1
SJCFUT,2026-07-07 14:09:00,"26,40","26,40","26,40","26,40","83.160,00",7
SJCFUT,2026-07-07 14:08:00,"26,40","26,40","26,40","26,40","273.240,00",23
SJCFUT,2026-07-07 14:04:00,"26,36","26,36","26,36","26,36","11.862,00",1
SJCFUT,2026-07-07 14:03:00,"26,35","26,35","26,35","26,35","23.715,00",2
SJCFUT,2026-07-07 14:02:00,"26,36","26,36","26,36","26,36","11.862,00",1
SJCFUT,2026-07-07 11:56:00,"26,19","26,19","26,19","26,19","11.785,50",1
SJCFUT,2026-07-07 11:36:00,"26,17","26,17","26,17","26,17","23.553,00",2
SJCFUT,2026-07-07 11:08:00,"26,22","26,22","26,22","26,22","47.196,00",4
SJCFUT,2026-07-07 10:44:00,"26,30","26,31","26,30","26,31","591.795,00",50
SJCFUT,2026-07-07 09:46:00,"26,37","26,37","26,37","26,37","11.866,50",1
SJCFUT,2026-07-06 15:12:00,"26,32","26,32","26,32","26,32","23.688,00",2
SJCFUT,2026-07-06 15:09:00,"26,32","26,32","26,32","26,32","307.944,00",26
SJCFUT,2026-07-06 15:06:00,"26,32","26,32","26,32","26,32","260.568,00",22
SJCFUT,2026-07-06 15:01:00,"26,28","26,28","26,28","26,28","23.652,00",2
SJCFUT,2026-07-06 14:52:00,"26,35","26,35","26,35","26,35","11.857,50",1
SJCFUT,2026-07-06 14:51:00,"26,35","26,35","26,35","26,35","118.575,00",10
SJCFUT,2026-07-06 14:40:00,"26,35","26,35","26,35","26,35","11.857,50",1
SJCFUT,2026-07-06 14:28:00,"26,34","26,34","26,34","26,34","23.706,00",2
SJCFUT,2026-07-06 14:24:00,"26,30","26,30","26,30","26,30","35.505,00",3
SJCFUT,2026-07-06 14:03:00,"26,26","26,26","26,26","26,26","11.817,00",1
SJCFUT,2026-07-06 14:01:00,"26,30","26,30","26,30","26,30","319.545,00",27
SJCFUT,2026-07-06 13:50:00,"26,28","26,28","26,28","26,28","11.826,00",1
SJCFUT,2026-07-06 13:39:00,"26,22","26,22","26,22","26,22","11.799,00",1
SJCFUT,2026-07-06 13:36:00,"26,22","26,22","26,22","26,22","11.799,00",1
SJCFUT,2026-07-06 13:26:00,"26,23","26,23","26,23","26,23","11.803,50",1
SJCFUT,2026-07-06 13:24:00,"26,23","26,23","26,23","26,23","11.803,50",1
SJCFUT,2026-07-06 13:18:00,"26,24","26,24","26,24","26,24","141.696,00",12
SJCFUT,2026-07-06 13:03:00,"26,30","26,32","26,30","26,32","473.490,00",40
SJCFUT,2026-07-06 12:56:00,"26,38","26,38","26,38","26,38","71.226,00",6
SJCFUT,2026-07-06 12:54:00,"26,35","26,35","26,35","26,35","11.857,50",1
SJCFUT,2026-07-06 12:48:00,"26,38","26,38","26,38","26,38","11.871,00",1
SJCFUT,2026-07-06 12:47:00,"26,37","26,37","26,37","26,37","35.599,50",3
SJCFUT,2026-07-06 12:44:00,"26,37","26,37","26,37","26,37","23.733,00",2
SJCFUT,2026-07-06 12:40:00,"26,37","26,37","26,37","26,37","11.866,50",1
SJCFUT,2026-07-06 12:34:00,"26,37","26,37","26,37","26,37","59.332,50",5
SJCFUT,2026-07-06 12:33:00,"26,37","26,37","26,37","26,37","296.662,50",25
SJCFUT,2026-07-06 12:31:00,"26,34","26,34","26,34","26,34","11.853,00",1
SJCFUT,2026-07-06 12:25:00,"26,32","26,32","26,32","26,32","23.688,00",2
SJCFUT,2026-07-06 12:21:00,"26,28","26,28","26,28","26,28","11.826,00",1
SJCFUT,2026-07-06 12:17:00,"26,28","26,28","26,28","26,28","11.826,00",1
SJCFUT,2026-07-06 12:15:00,"26,25","26,25","26,25","26,25","23.625,00",2
SJCFUT,2026-07-06 12:04:00,"26,28","26,28","26,25","26,25","378.027,00",32
SJCFUT,2026-07-06 12:02:00,"26,30","26,30","26,30","26,30","355.050,00",30
SJCFUT,2026-07-06 12:00:00,"26,30","26,30","26,28","26,28","378.702,00",32
SJCFUT,2026-07-06 11:59:00,"26,28","26,28","26,28","26,28","11.826,00",1
SJCFUT,2026-07-06 11:58:00,"26,27","26,27","26,27","26,27","35.464,50",3
SJCFUT,2026-07-06 11:38:00,"26,22","26,22","26,22","26,22","70.794,00",6
SJCFUT,2026-07-06 11:32:00,"26,20","26,20","26,20","26,20","11.790,00",1
SJCFUT,2026-07-06 11:30:00,"26,15","26,15","26,15","26,15","141.210,00",12
SJCFUT,2026-07-06 11:29:00,"26,18","26,18","26,18","26,18","23.562,00",2
SJCFUT,2026-07-06 11:22:00,"26,22","26,22","26,22","26,22","70.794,00",6
SJCFUT,2026-07-06 11:21:00,"26,23","26,23","26,23","26,23","11.803,50",1
SJCFUT,2026-07-06 11:18:00,"26,21","26,21","26,21","26,21","58.972,50",5
SJCFUT,2026-07-06 11:15:00,"26,20","26,20","26,20","26,20","141.480,00",12
SJCFUT,2026-07-06 11:14:00,"26,18","26,18","26,18","26,18","11.781,00",1
SJCFUT,2026-07-06 11:13:00,"26,19","26,19","26,19","26,19","82.498,50",7
SJCFUT,2026-07-06 11:04:00,"26,14","26,14","26,14","26,14","11.763,00",1
SJCFUT,2026-07-06 10:54:00,"26,15","26,16","26,15","26,15","58.842,00",5
SJCFUT,2026-07-06 10:53:00,"26,10","26,10","26,10","26,10","11.745,00",1
SJCFUT,2026-07-06 10:46:00,"26,11","26,11","26,11","26,11","11.749,50",1
SJCFUT,2026-07-06 10:44:00,"26,10","26,12","26,10","26,12","187.974,00",16
SJCFUT,2026-07-06 10:39:00,"26,08","26,08","26,08","26,08","82.152,00",7
SJCFUT,2026-07-06 10:38:00,"26,06","26,06","26,06","26,06","11.727,00",1
SJCFUT,2026-07-06 10:32:00,"26,07","26,07","26,07","26,07","11.731,50",1
SJCFUT,2026-07-06 10:30:00,"26,04","26,05","26,04","26,05","23.440,50",2
SJCFUT,2026-07-06 10:04:00,"26,07","26,07","26,07","26,07","23.463,00",2
SJCFUT,2026-07-06 09:38:00,"26,06","26,07","26,06","26,07","35.190,00",3
SJCFUT,2026-07-06 09:37:00,"26,05","26,05","26,05","26,05","46.890,00",4
SJCFUT,2026-07-06 09:34:00,"26,03","26,03","26,03","26,03","81.994,50",7
SJCFUT,2026-07-06 09:31:00,"25,99","25,99","25,99","25,99","350.865,00",30
SJCFUT,2026-07-06 09:28:00,"26,02","26,02","26,02","26,02","11.709,00",1
SJCFUT,2026-07-06 09:22:00,"26,00","26,00","25,99","26,00","152.091,00",13
SJCFUT,2026-07-06 09:08:00,"26,07","26,07","26,07","26,07","11.731,50",1
SJCFUT,2026-07-06 09:07:00,"26,04","26,04","26,04","26,04","11.718,00",1
SJCFUT,2026-07-06 09:06:00,"26,07","26,07","26,07","26,07","82.120,50",7
SJCFUT,2026-07-06 09:05:00,"26,05","26,05","26,00","26,00","480.253,50",41
SJCFUT,2026-07-06 09:04:00,"26,03","26,08","26,03","26,07","1.628.820,00",139
SJCFUT,2026-07-06 09:03:00,"26,00","26,00","26,00","26,00","23.400,00",2
SJCFUT,2026-07-02 15:17:00,"25,32","25,32","25,32","25,32","11.394,00",1
SJCFUT,2026-07-02 15:14:00,"25,32","25,32","25,32","25,32","489.942,00",43
SJCFUT,2026-07-02 15:13:00,"25,32","25,32","25,32","25,32","113.940,00",10
SJCFUT,2026-07-02 15:12:00,"25,32","25,32","25,32","25,32","113.940,00",10
SJCFUT,2026-07-02 15:05:00,"25,32","25,32","25,32","25,32","307.638,00",27
SJCFUT,2026-07-02 14:23:00,"25,33","25,33","25,33","25,33","11.398,50",1
SJCFUT,2026-07-02 14:20:00,"25,31","25,31","25,31","25,31","113.895,00",10
SJCFUT,2026-07-02 14:18:00,"25,31","25,31","25,31","25,31","113.895,00",10
SJCFUT,2026-07-02 14:00:00,"25,30","25,30","25,30","25,30","79.695,00",7
SJCFUT,2026-07-02 13:55:00,"25,30","25,30","25,30","25,30","273.240,00",24
SJCFUT,2026-07-02 13:52:00,"25,33","25,33","25,33","25,33","11.398,50",1
SJCFUT,2026-07-02 13:25:00,"25,31","25,31","25,31","25,31","22.779,00",2
SJCFUT,2026-07-02 13:00:00,"25,30","25,30","25,30","25,30","330.165,00",29
SJCFUT,2026-07-02 12:31:00,"25,37","25,37","25,37","25,37","34.249,50",3
SJCFUT,2026-07-02 12:22:00,"25,32","25,32","25,32","25,32","113.940,00",10
SJCFUT,2026-07-02 11:19:00,"25,42","25,42","25,42","25,42","171.585,00",15
SJCFUT,2026-07-02 11:03:00,"25,43","25,43","25,43","25,43","11.443,50",1
SJCFUT,2026-07-02 10:42:00,"25,50","25,50","25,50","25,50","218.025,00",19
SJCFUT,2026-07-02 10:41:00,"25,50","25,50","25,50","25,50","263.925,00",23
SJCFUT,2026-07-02 10:39:00,"25,45","25,45","25,45","25,45","229.050,00",20
SJCFUT,2026-07-02 10:31:00,"25,49","25,49","25,49","25,49","22.941,00",2
SJCFUT,2026-07-02 09:02:00,"25,47","25,47","25,47","25,47","343.845,00",30
SJCFUT,2026-07-01 15:14:00,"25,34","25,34","25,34","25,34","11.403,00",1
SJCFUT,2026-07-01 15:09:00,"25,35","25,35","25,33","25,33","22.806,00",2
SJCFUT,2026-07-01 15:02:00,"25,35","25,35","25,35","25,35","22.815,00",2
SJCFUT,2026-07-01 14:15:00,"25,32","25,32","25,32","25,32","22.788,00",2
SJCFUT,2026-07-01 13:21:00,"25,32","25,32","25,32","25,32","11.394,00",1
SJCFUT,2026-07-01 12:20:00,"25,30","25,30","25,30","25,30","227.700,00",20
SJCFUT,2026-07-01 11:56:00,"25,32","25,32","25,32","25,32","11.394,00",1
SJCFUT,2026-07-01 11:53:00,"25,32","25,32","25,32","25,32","11.394,00",1
SJCFUT,2026-07-01 11:51:00,"25,36","25,36","25,34","25,34","171.135,00",15
SJCFUT,2026-07-01 11:50:00,"25,36","25,36","25,36","25,36","296.712,00",26
SJCFUT,2026-07-01 11:30:00,"25,36","25,36","25,35","25,35","114.084,00",10
SJCFUT,2026-07-01 11:21:00,"25,44","25,44","25,44","25,44","34.344,00",3
SJCFUT,2026-07-01 11:15:00,"25,43","25,43","25,43","25,43","34.330,50",3
SJCFUT,2026-07-01 11:14:00,"25,40","25,40","25,40","25,40","102.870,00",9
SJCFUT,2026-07-01 11:10:00,"25,42","25,42","25,42","25,42","11.439,00",1
SJCFUT,2026-07-01 11:07:00,"25,40","25,40","25,40","25,40","11.430,00",1
SJCFUT,2026-07-01 11:06:00,"25,43","25,43","25,43","25,43","11.443,50",1
SJCFUT,2026-07-01 11:01:00,"25,46","25,46","25,46","25,46","57.285,00",5
SJCFUT,2026-07-01 10:57:00,"25,48","25,48","25,48","25,48","22.932,00",2
SJCFUT,2026-07-01 10:55:00,"25,48","25,48","25,48","25,48","45.864,00",4
SJCFUT,2026-07-01 10:49:00,"25,47","25,47","25,47","25,47","34.384,50",3
SJCFUT,2026-07-01 10:44:00,"25,46","25,46","25,46","25,46","22.914,00",2
SJCFUT,2026-07-01 10:41:00,"25,45","25,46","25,45","25,46","22.909,50",2
SJCFUT,2026-07-01 10:35:00,"25,40","25,40","25,40","25,40","11.430,00",1
SJCFUT,2026-07-01 10:31:00,"25,42","25,42","25,42","25,42","11.439,00",1
SJCFUT,2026-07-01 09:37:00,"25,40","25,40","25,40","25,40","22.860,00",2
